Zeitstempel;Verbrauch Maschine 1 (kWh);Verbrauch Maschine 2 (kWh);Verbrauch Maschine 3 (kWh)
Do., 18.Apr. 2014 11:60;0,874848485;1,325454545;2,849090909
Do., 18.Apr. 2014 11:75;0,860722611;1,308216783;2,846258741
Do., 18.Apr. 2014 11:90;0,846596737;1,290979021;2,843426573
Do., 18.Apr. 2014 11:105;0,832470862;1,273741259;2,840594406
Do., 18.Apr. 2014 11:120;0,818344988;1,256503497;2,837762238
Do., 18.Apr. 2014 11:135;0,804219114;1,239265734;2,83493007
Do., 18.Apr. 2014 11:150;0,79009324;1,222027972;2,832097902
Do., 18.Apr. 2014 11:165;0,775967366;1,20479021;2,829265734
Do., 18.Apr. 2014 11:180;0,761841492;1,187552448;2,826433566
Do., 18.Apr. 2014 11:195;0,747715618;1,170314685;2,823601399
Do., 18.Apr. 2014 11:210;0,733589744;1,153076923;2,820769231
Do., 18.Apr. 2014 11:225;0,719463869;1,135839161;2,817937063
Do., 18.Apr. 2014 11:240;0,705337995;1,118601399;2,815104895
Do., 18.Apr. 2014 11:255;0,691212121;1,101363636;2,812272727
Do., 18.Apr. 2014 11:270;0,677086247;1,084125874;2,809440559
Do., 18.Apr. 2014 11:285;0,662960373;1,066888112;2,806608392
Do., 18.Apr. 2014 11:300;0,648834499;1,04965035;2,803776224
Do., 18.Apr. 2014 11:315;0,634708625;1,032412587;2,800944056
Do., 18.Apr. 2014 11:330;0,620582751;1,015174825;2,798111888
Do., 18.Apr. 2014 11:345;0,606456876;0,997937063;2,79527972
Do., 18.Apr. 2014 11:360;0,592331002;0,980699301;2,792447552
Do., 18.Apr. 2014 11:375;0,578205128;0,963461538;2,789615385
Do., 18.Apr. 2014 11:390;0,564079254;0,946223776;2,786783217
Do., 18.Apr. 2014 11:405;0,54995338;0,928986014;2,783951049
Do., 18.Apr. 2014 11:420;0,535827506;0,911748252;2,781118881
Do., 18.Apr. 2014 11:435;0,521701632;0,89451049;2,778286713
Do., 18.Apr. 2014 11:450;0,507575758;0,877272727;2,775454545
Do., 18.Apr. 2014 11:465;0,493449883;0,860034965;2,772622378
Do., 18.Apr. 2014 11:480;0,479324009;0,842797203;2,76979021
Do., 18.Apr. 2014 11:495;0,465198135;0,825559441;2,766958042
Do., 18.Apr. 2014 11:510;0,451072261;0,808321678;2,764125874
Do., 18.Apr. 2014 11:525;0,436946387;0,791083916;2,761293706
Do., 18.Apr. 2014 11:540;0,422820513;0,773846154;2,758461538
